t,y
0,23.5
1,22.5
2,21.5
3,20.5
4,19.5
5,18.5
6,17.5
7,16.5
8,15.5
9,14.5
10,13.5
11,12.5
12,11.5
13,10.5
14,9.5
15,8.5
16,7.5
17,6.5
18,5.5
19,4.5
20,3.5
21,2.5
22,1.5
23,0.5
24,-0.5
25,-1.5
26,-2.5
27,-3.5
28,-4.5
29,-5.5
30,-6.5
31,-7.5
32,-8.5
33,-9.5
34,-10.5
35,-11.5
36,-12.5
37,-13.5
38,-14.5
39,-15.5
40,-16.5
41,-17.5
42,-18.5
43,-19.5
44,-20.5
45,-21.5
46,-22.5
47,-23.5
48,-23.5
49,-22.5
50,-21.5
51,-20.5
52,-19.5
53,-18.5
54,-17.5
55,-16.5
56,-15.5
57,-14.5
58,-13.5
59,-12.5
60,-11.5
61,-10.5
62,-9.5
63,-8.5
64,-7.5
65,-6.5
66,-5.5
67,-4.5
68,-3.5
69,-2.5
70,-1.5
71,-0.5
72,0.5
73,1.5
74,2.5
75,3.5
76,4.5
77,5.5
78,6.5
79,7.5
80,8.5
81,9.5
82,10.5
83,11.5
84,12.5
85,13.5
86,14.5
87,15.5
88,16.5
89,17.5
90,18.5
91,19.5
92,20.5
93,21.5
94,22.5
95,23.5
