t,y
0,60.0
1,59.0
2,58.0
3,57.0
4,56.0
5,55.0
6,54.0
7,53.0
8,52.0
9,51.0
10,50.0
11,49.0
12,48.0
13,47.0
14,46.0
15,45.0
16,44.0
17,43.0
18,42.0
19,41.0
20,40.0
21,39.0
22,38.0
23,37.0
24,36.0
25,35.0
26,34.0
27,33.0
28,32.0
29,31.0
30,30.0
31,29.0
32,28.0
33,27.0
34,26.0
35,25.0
36,24.0
37,23.0
38,22.0
39,21.0
40,20.0
41,19.0
42,18.0
43,17.0
44,16.0
45,15.0
46,14.0
47,13.0
48,12.0
49,11.0
50,10.0
51,9.0
52,8.0
53,7.0
54,6.0
55,5.0
56,4.0
57,3.0
58,2.0
59,1.0
60,0.0
61,-1.0
62,-2.0
63,-3.0
64,-4.0
65,-5.0
66,-6.0
67,-7.0
68,-8.0
69,-9.0
70,-10.0
71,-11.0
72,-12.0
73,-13.0
74,-14.0
75,-15.0
76,-16.0
77,-17.0
78,-18.0
79,-19.0
80,-20.0
81,-21.0
82,-22.0
83,-23.0
84,-24.0
85,-25.0
86,-26.0
87,-27.0
88,-28.0
89,-29.0
90,-30.0
91,-31.0
92,-32.0
93,-33.0
94,-34.0
95,-35.0
96,-36.0
97,-37.0
98,-38.0
99,-39.0
100,-40.0
101,-41.0
102,-42.0
103,-43.0
104,-44.0
105,-45.0
106,-46.0
107,-47.0
108,-48.0
109,-49.0
110,-50.0
111,-51.0
112,-52.0
113,-53.0
114,-54.0
115,-55.0
116,-56.0
117,-57.0
118,-58.0
119,-59.0
120,-60.0
121,-59.0
122,-58.0
123,-57.0
124,-56.0
125,-55.0
126,-54.0
127,-53.0
128,-52.0
129,-51.0
130,-50.0
131,-49.0
132,-48.0
133,-47.0
134,-46.0
135,-45.0
136,-44.0
137,-43.0
138,-42.0
139,-41.0
140,-40.0
141,-39.0
142,-38.0
143,-37.0
144,-36.0
145,-35.0
146,-34.0
147,-33.0
148,-32.0
149,-31.0
150,-30.0
151,-29.0
152,-28.0
153,-27.0
154,-26.0
155,-25.0
156,-24.0
157,-23.0
158,-22.0
159,-21.0
160,-20.0
161,-19.0
162,-18.0
163,-17.0
164,-16.0
165,-15.0
166,-14.0
167,-13.0
168,-12.0
169,-11.0
170,-10.0
171,-9.0
172,-8.0
173,-7.0
174,-6.0
175,-5.0
176,-4.0
177,-3.0
178,-2.0
179,-1.0
180,0.0
181,1.0
182,2.0
183,3.0
184,4.0
185,5.0
186,6.0
187,7.0
188,8.0
189,9.0
190,10.0
191,11.0
192,12.0
193,13.0
194,14.0
195,15.0
196,16.0
197,17.0
198,18.0
199,19.0
200,20.0
201,21.0
202,22.0
203,23.0
204,24.0
205,25.0
206,26.0
207,27.0
208,28.0
209,29.0
210,30.0
211,31.0
212,32.0
213,33.0
214,34.0
215,35.0
216,36.0
217,37.0
218,38.0
219,39.0
220,40.0
221,41.0
222,42.0
223,43.0
224,44.0
225,45.0
226,46.0
227,47.0
228,48.0
229,49.0
230,50.0
231,51.0
232,52.0
233,53.0
234,54.0
235,55.0
236,56.0
237,57.0
238,58.0
239,59.0
